outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_mean_force
2.54,1.86,1.49,76.13,127.24,259.91,72087.8,25.664385200588296
2.69,2.07,1.32,75.64,128.22,244.16,73817.1,26.562229839447806
2.78,2.22,1.58,75.66,127.75,262.1,69750.1,30.317576946978416
2.74,1.99,1.51,76.07,127.84,277.85,75997.5,30.543592784789436
2.89,2.05,1.47,76.07,127.82,261.92,68290.2,30.98101755328207
2.78,2.09,1.27,76.08,127.58,245.04,69672.5,27.532506775152566
2.68,2.06,1.51,75.55,128.11,279.02,75428.5,29.87711744019452
2.83,2.04,1.46,76.6,127.39,275.24,70138.4,31.30723252369273
2.79,1.79,1.48,75.65,127.73,256.98,69053.8,28.431534568062258
2.69,2.3,1.73,75.76,128.26,292.17,68246.8,32.30865803069378
2.61,2.19,1.49,76.54,128.51,275.58,76594.9,29.009508588404625
2.76,2.17,1.34,76.56,128.32,263.94,69434.0,29.269554163421613
2.68,1.82,1.6,75.37,128.58,245.55,74760.5,26.78693086160194
2.76,1.77,1.48,75.58,128.21,285.29,68985.0,30.218520998385653
2.9,1.74,1.47,75.99,128.25,265.05,75749.7,30.962395264944345
2.53,2.26,1.31,76.36,128.57,241.29,67258.2,24.31589388815382
2.78,2.09,1.31,75.25,127.41,268.49,75212.1,29.70302207798397
2.66,1.83,1.77,75.31,127.44,253.22,63834.3,27.08195888119837
2.87,1.99,1.76,75.77,128.14,253.33,70555.0,30.950129873070633
2.68,2.28,1.22,75.58,127.52,261.23,63351.5,27.385958858963587
2.63,2.08,1.51,75.31,128.53,257.19,66576.5,26.944188823886403
2.74,2.07,1.3,76.14,128.0,271.29,71568.9,29.25068128238433
2.77,1.9,1.79,76.17,128.2,264.05,64731.8,30.082744277144453
2.69,2.28,1.61,75.26,128.12,292.72,69405.2,31.78554669747427
2.84,1.79,1.5,75.92,127.52,260.7,72195.6,29.737930425384317
2.56,1.75,1.65,76.04,127.73,258.19,71902.0,26.097442858782184
2.88,1.93,1.24,76.15,127.36,255.69,66704.9,29.120488254802236
2.81,2.09,1.46,75.53,127.34,246.86,75039.9,28.88328426484588
2.55,2.03,1.42,75.38,128.34,261.29,63662.2,25.529928360111963
2.59,1.8,1.4,76.36,128.55,247.3,72710.5,25.021333210772465
2.61,1.79,1.22,75.93,128.53,285.62,73522.6,27.539564298198
2.9,2.08,1.77,75.28,127.89,260.99,74480.5,32.39703031653244
2.75,1.76,1.66,75.43,127.5,290.21,73363.0,31.3122811428301
2.9,1.72,1.47,76.15,128.05,289.84,63042.2,32.31272943947022
2.61,2.21,1.53,75.69,128.28,279.32,72732.3,29.28140500711515
2.77,2.12,1.43,76.19,128.25,280.16,63459.9,30.55251414840222
2.67,1.86,1.21,76.54,128.07,242.82,66467.2,25.01154972324093
2.72,2.15,1.61,75.44,127.97,241.15,64993.9,27.355216417565654
2.56,2.15,1.34,76.43,127.97,273.33,76115.4,27.42805492536672
2.68,1.95,1.37,76.47,128.12,268.05,71488.9,28.0819441766323
2.9,2.2,1.55,76.55,127.58,247.55,63977.6,30.3792440961796
2.6,1.99,1.23,76.07,127.66,270.8,63292.6,26.26562144499871
2.52,1.92,1.69,76.57,127.38,288.24,63453.4,28.006098360329357
2.6,1.82,1.49,75.23,128.31,278.99,63416.1,27.141166861488156
2.6,2.19,1.71,75.72,128.19,279.82,65742.5,29.397390207471286
2.59,1.97,1.34,76.23,128.4,293.58,76521.4,28.94302410553814
2.65,1.73,1.33,75.91,127.73,247.63,70361.7,25.271611415347248
2.84,2.23,1.61,76.01,128.43,259.01,75273.5,31.429393967448387
2.74,2.2,1.6,76.14,127.26,266.03,72811.1,30.282851405197217
2.86,2.27,1.5,75.39,127.77,248.81,71542.5,30.21087149227912
2.64,2.02,1.46,75.72,127.79,288.87,73461.9,29.670833407038113
2.8,1.96,1.24,75.35,128.51,287.53,63388.8,30.28137335068811
2.69,1.78,1.27,76.59,127.44,264.85,67935.1,27.030864496499245
2.62,1.89,1.67,76.31,128.31,288.69,64712.7,29.39074916994809
2.78,2.14,1.72,75.35,127.75,255.78,76874.2,30.409748706975844
2.72,1.72,1.39,76.06,127.61,270.67,75201.6,28.475679962876708
2.69,2.02,1.61,75.51,128.38,260.48,75640.3,28.79359620391676
2.5,1.88,1.23,76.06,127.45,285.57,67019.5,25.84425836132561
2.78,2.08,1.8,76.56,127.89,290.48,65764.8,33.12353267917638
2.72,2.22,1.58,75.83,127.53,287.02,66417.5,31.337240077476846
2.66,2.09,1.29,76.23,128.11,282.62,64980.6,28.62096557053928
2.57,2.11,1.39,75.44,128.07,255.64,69601.8,25.88350913869783
